fsq_id,categories,chains,closed_bucket,distance,link,name,timezone,source,latitude,longitude,geocodes.drop_off.latitude,geocodes.drop_off.longitude,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.country,location.cross_street,location.formatted_address,location.locality,location.postcode,location.region,location.address_extended,related_places.children,related_places.parent.fsq_id,related_places.parent.categories,related_places.parent.name
589bc46a739d8546efb5f2fd,"[{'id': 13025, 'name': 'Wine Bar', 'short_name': 'Wine Bar', 'plural_name': 'Wine Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/winery_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],VeryLikelyOpen,2033,/v3/places/589bc46a739d8546efb5f2fd,Grey Gardens,America/Toronto,Foursquare,43.663722,-79.380288,43.653759,-79.401708,43.653818,-79.401564,43.653818,-79.401564,199 Augusta Ave,CA,,"199 Augusta Ave, Toronto ON M5T 2L4",Toronto,M5T 2L4,ON,,,,,
5531956d498e24c6e9994f2e,"[{'id': 13022, 'name': 'Sports Bar', 'short_name': 'Sports Bar', 'plural_name': 'Sports Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],VeryLikelyOpen,5314,/v3/places/5531956d498e24c6e9994f2e,LOCAL Public Eatery Leaside,America/Toronto,Foursquare,43.663722,-79.380288,43.709963,-79.363349,43.709977,-79.363491,43.709977,-79.363491,180 Laird Dr,CA,,"180 Laird Dr, East York ON M4G 3V7",East York,M4G 3V7,ON,,,,,
5753753b498eeb535c53aed5,"[{'id': 13003, 'name': 'Bar', 'short_name': 'Bar', 'plural_name': 'Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13064, 'name': 'Pizzeria', 'short_name': 'Pizza', 'plural_name': 'Pizzerias', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}]",[],VeryLikelyOpen,4773,/v3/places/5753753b498eeb535c53aed5,The Greater Good Bar,America/Toronto,Foursquare,43.663722,-79.380288,43.669476,-79.439195,43.669324,-79.439163,43.669324,-79.439163,229 Geary Ave,CA,at Dufferin St,"229 Geary Ave (at Dufferin St), Toronto ON M6H 2C1",Toronto,M6H 2C1,ON,,"[{'fsq_id': '5998aa934940bc4de5bfdaca', 'categories': [{'id': 13064, 'name': 'Pizzeria', 'short_name': 'Pizza', 'plural_name': 'Pizzerias', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}], 'name': 'North of Brooklyn Pizzeria'}]",,,
4bb942a7cf2fc9b6596ca002,"[{'id': 13383, 'name': 'Steakhouse', 'short_name': 'Steakhouse', 'plural_name': 'Steakhouses', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/steakhouse_', 'suffix': '.png'}}]",[],VeryLikelyOpen,392,/v3/places/4bb942a7cf2fc9b6596ca002,The Keg Steakhouse & Bar,America/Toronto,Foursquare,43.663722,-79.380288,,,43.666818,-79.378075,43.666769,-79.377817,515 Jarvis St,CA,Wellesley,"515 Jarvis St (Wellesley), Toronto ON M4Y 2H7",Toronto,M4Y 2H7,ON,,,,,
5d6c625b92ab4500087abc20,"[{'id': 13003, 'name': 'Bar', 'short_name': 'Bar', 'plural_name': 'Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13064, 'name': 'Pizzeria', 'short_name': 'Pizza', 'plural_name': 'Pizzerias', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}]",[],VeryLikelyOpen,4039,/v3/places/5d6c625b92ab4500087abc20,Bar Poet,America/Toronto,Foursquare,43.663722,-79.380288,,,43.643672,-79.422194,43.643672,-79.422194,1090 Queen St W,CA,Dovercourt Road,"1090 Queen St W (Dovercourt Road), Toronto ON M6J 1H8",Toronto,M6J 1H8,ON,,,,,
4ad69511f964a520e40721e3,"[{'id': 13383, 'name': 'Steakhouse', 'short_name': 'Steakhouse', 'plural_name': 'Steakhouses', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/steakhouse_', 'suffix': '.png'}}, {'id': 17057, 'name': 'Food and Beverage Retail', 'short_name': 'Food & Beverage', 'plural_name': 'Food and Beverage Retail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/foodanddrink_', 'suffix': '.png'}}]",[],VeryLikelyOpen,1550,/v3/places/4ad69511f964a520e40721e3,The Keg Steakhouse + Bar,America/Toronto,Foursquare,43.663722,-79.380288,,,43.650038,-79.384038,43.650038,-79.384038,165 York St,CA,btwn Richmond St. & Adelaide St.,"165 York St (btwn Richmond St. & Adelaide St.), Toronto ON M5H 3R8",Toronto,M5H 3R8,ON,btwn Richmond St. & Adelaide St,,,,
4adfd8c0f964a520bf7d21e3,"[{'id': 13009, 'name': 'Cocktail Bar', 'short_name': 'Cocktail', 'plural_name': 'Cocktail Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13010, 'name': 'Dive Bar', 'short_name': 'Dive Bar', 'plural_name': 'Dive Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/divebar_', 'suffix': '.png'}}, {'id': 13049, 'name': 'Diner', 'short_name': 'Diner', 'plural_name': 'Diners', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}}]",[],VeryLikelyOpen,3654,/v3/places/4adfd8c0f964a520bf7d21e3,Communist's Daughter,America/Toronto,Foursquare,43.663722,-79.380288,,,43.649199,-79.421069,43.649199,-79.421069,1149 Dundas St W,CA,at Ossington,"1149 Dundas St W (at Ossington), Toronto ON M6J 1X3",Toronto,M6J 1X3,ON,,,,,
4b56a44ff964a5206e1728e3,"[{'id': 13383, 'name': 'Steakhouse', 'short_name': 'Steakhouse', 'plural_name': 'Steakhouses', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/steakhouse_', 'suffix': '.png'}}, {'id': 17057, 'name': 'Food and Beverage Retail', 'short_name': 'Food & Beverage', 'plural_name': 'Food and Beverage Retail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/foodanddrink_', 'suffix': '.png'}}]",[],VeryLikelyOpen,1939,/v3/places/4b56a44ff964a5206e1728e3,The Keg Steakhouse + Bar,America/Toronto,Foursquare,43.663722,-79.380288,,,43.646718,-79.374862,43.646718,-79.374862,26 the Esplanade,CA,,"26 the Esplanade, Toronto ON M5E 1A6",Toronto,M5E 1A6,ON,,,,,
55cae138498e9d204f58e039,"[{'id': 13003, 'name': 'Bar', 'short_name': 'Bar', 'plural_name': 'Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],VeryLikelyOpen,20582,/v3/places/55cae138498e9d204f58e039,Door FiftyFive,America/Toronto,Foursquare,43.663722,-79.380288,43.55245,-79.584766,43.552317,-79.584643,43.552317,-79.584643,55 Lakeshore Rd E,CA,,"55 Lakeshore Rd E, Mississauga ON L5G 1C9",Mississauga,L5G 1C9,ON,,,,,
4b4690b0f964a520822426e3,"[{'id': 13022, 'name': 'Sports Bar', 'short_name': 'Sports Bar', 'plural_name': 'Sports Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],VeryLikelyOpen,19963,/v3/places/4b4690b0f964a520822426e3,Fred's Bar & Grill,America/Toronto,Foursquare,43.663722,-79.380288,,,43.599045,-79.611856,43.599045,-79.611856,636 Bloor St,CA,at Mississauga Valley Blvd,"636 Bloor St (at Mississauga Valley Blvd), Mississauga ON L5A 3V9",Mississauga,L5A 3V9,ON,,,,,
4ad4c05ef964a520daf620e3,"[{'id': 10004, 'name': 'Art Gallery', 'short_name': 'Art Gallery', 'plural_name': 'Art Galleries', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/artgallery_', 'suffix': '.png'}}]",[],VeryLikelyOpen,1489,/v3/places/4ad4c05ef964a520daf620e3,Art Gallery of Ontario,America/Toronto,Foursquare,43.663722,-79.380288,,,43.653538,-79.392624,43.653685,-79.392566,317 Dundas St W,CA,at Beverley St,"317 Dundas St W (at Beverley St), Toronto ON M5T 1G4",Toronto,M5T 1G4,ON,,"[{'fsq_id': '4d13cab06d103704a15d1bbd', 'categories': [{'id': 17089, 'name': 'Gift Store', 'short_name': 'Gift Store', 'plural_name': 'Gift Stores', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/giftshop_', 'suffix': '.png'}}], 'name': 'Gift Shop'}, {'fsq_id': '5dab68b1e5f99900080adecf', 'categories': [{'id': 10004, 'name': 'Art Gallery', 'short_name': 'Art Gallery', 'plural_name': 'Art Galleries', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/artgallery_', 'suffix': '.png'}}], 'name': 'Murray Frum Gallery'}, {'fsq_id': '59ef7882345cbe36e4b44ace', 'categories': [{'id': 10004, 'name': 'Art Gallery', 'short_name': 'Art Gallery', 'plural_name': 'Art Galleries', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/artgallery_', 'suffix': '.png'}}], 'name': 'Henry Moore Sculpture Centre'}, {'fsq_id': '5abd69b4fe37406f05cdd2c2', 'categories': [{'id': 13027, 'name': 'Bistro', 'short_name': 'Bistro', 'plural_name': 'Bistros', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}], 'name': 'The Shop AGO'}, {'fsq_id': '4ad4c060f964a52064f720e3', 'categories': [{'id': 13034, 'name': 'Café', 'short_name': 'Café', 'plural_name': 'Cafés', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}], 'name': 'CafeAGO'}, {'fsq_id': '5e0a6342e72ebb0007055268', 'categories': [{'id': 11165, 'name': 'Storage Facility', 'short_name': 'Storage', 'plural_name': 'Storage Facilities', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/storage_', 'suffix': '.png'}}], 'name': 'AGO Coat Check'}, {'fsq_id': '50049244d86ca6e40253fcf2', 'categories': [{'id': 11039, 'name': 'Event Space', 'short_name': 'Event Space', 'plural_name': 'Event Spaces', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/eventspace_', 'suffix': '.png'}}], 'name': 'Step Up Revolution to'}, {'fsq_id': '4ae47067f964a520989a21e3', 'categories': [{'id': 17045, 'name': 'Jewelry Store', 'short_name': 'Jewelry', 'plural_name': 'Jewelry Stores', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/jewelry_', 'suffix': '.png'}}], 'name': 'Art Square Cafe'}, {'fsq_id': '4ad4c062f964a520bef720e3', 'categories': [{'id': 10024, 'name': 'Movie Theater', 'short_name': 'Movie Theater', 'plural_name': 'Movie Theaters', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/movietheater_', 'suffix': '.png'}}], 'name': 'Jackman Hall'}, {'fsq_id': '4ae9f5b9f964a52002b821e3', 'categories': [{'id': 13034, 'name': 'Café', 'short_name': 'Café', 'plural_name': 'Cafés', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}], 'name': 'AGO Espresso Bar'}, {'fsq_id': '4e00ecb81f6ef39c294191e3', 'categories': [{'id': 12009, 'name': 'Education', 'short_name': 'Education', 'plural_name': 'Education', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}}], 'name': 'Weston Family Learning Centre'}, {'fsq_id': '5d1f232238c7d60024b7b790', 'categories': [{'id': 10016, 'name': 'Exhibit', 'short_name': 'Exhibit', 'plural_name': 'Exhibits', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}], 'name': ""Yayoi Kusama: Infinity Mirrored Room — Let's Survive Forever""}, {'fsq_id': '4ba64e69f964a520794439e3', 'categories': [{'id': 10004, 'name': 'Art Gallery', 'short_name': 'Art Gallery', 'plural_name': 'Art Galleries', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/artgallery_', 'suffix': '.png'}}], 'name': 'Norma Ridley Members’ Lounge'}, {'fsq_id': '4f06065b02d5265073806d8f', 'categories': [{'id': 12080, 'name': 'Library', 'short_name': 'Library', 'plural_name': 'Libraries', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/library_', 'suffix': '.png'}}], 'name': 'E.P. Taylor Research Library & Archives'}]",,,
4ae61447f964a52090a421e3,"[{'id': 12069, 'name': 'Government Department', 'short_name': 'Government Department', 'plural_name': 'Government Departments', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",[],VeryLikelyOpen,922,/v3/places/4ae61447f964a52090a421e3,Legislative Assembly of Ontario,America/Toronto,Foursquare,43.663722,-79.380288,,,43.662964,-79.391353,43.662399,-79.391617,111 Wellesley St W,CA,at Queen's Park Crescent,"111 Wellesley St W (at Queen's Park Crescent), Toronto ON M7A 1A2",Toronto,M7A 1A2,ON,# 1,"[{'fsq_id': 'ac28590dfbee4b21dc89740b', 'categories': [{'id': 19029, 'name': 'Tour Provider', 'short_name': 'Tour Provider', 'plural_name': 'Tour Providers', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}], 'name': 'ExploreToronto'}]",,,
4b31677bf964a520530625e3,"[{'id': 12054, 'name': 'Music School', 'short_name': 'Music School', 'plural_name': 'Music Schools', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_music_', 'suffix': '.png'}}]",[],VeryLikelyOpen,1357,/v3/places/4b31677bf964a520530625e3,Royal Conservatory of Music,America/Toronto,Foursquare,43.663722,-79.380288,,,43.667851,-79.396181,43.667851,-79.396181,273 Bloor St W,CA,,"273 Bloor St W, Toronto ON M5S 1W2",Toronto,M5S 1W2,ON,,"[{'fsq_id': '4ba79edaf964a52020a339e3', 'categories': [{'id': 13035, 'name': 'Coffee Shop', 'short_name': 'Coffee Shop', 'plural_name': 'Coffee Shops', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13302, 'name': 'Mediterranean Restaurant', 'short_name': 'Mediterranean', 'plural_name': 'Mediterranean Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mediterranean_', 'suffix': '.png'}}], 'name': 'B Expresso Bar'}, {'fsq_id': '4adf787cf964a520e57a21e3', 'categories': [{'id': 10037, 'name': 'Concert Hall', 'short_name': 'Concert Hall', 'plural_name': 'Concert Halls', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_', 'suffix': '.png'}}, {'id': 10039, 'name': 'Music Venue', 'short_name': 'Music Venue', 'plural_name': 'Music Venues', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}], 'name': 'Koerner Hall'}]",,,
4ad4c05ef964a520d8f620e3,"[{'id': 10027, 'name': 'Museum', 'short_name': 'Museum', 'plural_name': 'Museums', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_', 'suffix': '.png'}}]",[],VeryLikelyOpen,1868,/v3/places/4ad4c05ef964a520d8f620e3,Hockey Hall of Fame,America/Toronto,Foursquare,43.663722,-79.380288,,,43.64697,-79.3773,43.647047,-79.377298,30 Yonge St,CA,at Brookfield Pl.,"30 Yonge St (at Brookfield Pl.), Toronto ON M5E 1X8",Toronto,M5E 1X8,ON,Brookfield Place,[],,,
